metric,StreamBazaar,TALOS,DS2,FlinkDefault
latency_p50_ms,1536328.4996449947,1720687.9196023943,1843594.1995739937,2212313.0394887924
latency_p90_ms,1536907.1601986885,1721336.0194225314,1844288.5922384262,2213146.3106861115
latency_p95_ms,1536982.7117919922,1721420.6372070315,1844379.2541503906,2213255.1049804688
latency_p99_ms,1537035.3763234615,1721479.621482277,1844442.4515881538,2213330.9419057844
latency_p999_ms,1537047.4268534184,1721493.1180758288,1844456.912224102,2213348.294668922
throughput_msgs_per_sec,814.4617459859946,747.702586478946,774.4062502817654,600.8324355634387
rue,8.600062647986523,7.8264356629951175,7.246215424251563,5.698961454268752
eei,0.9666666666666668,0.7923497267759564,0.7659380692167579,0.4952185792349728
fpp,0.2858796289424717,0.24587962894247173,0.1958796289424717,0.2158796289424717
mis,29501.47727428925,33041.654547203965,35401.772729147095,42482.12727497652
tlvr,0.4982517482517482,0.5580419580419581,0.5979020979020978,0.7174825174825175
