timestamp_epoch,timestamp_iso,rue_cluster,tlvr_cluster,eei,fpp,mis,system_throughput_msgs_per_sec,msg_in_rate_total,msg_out_rate_total,bytes_in_rate_total,bytes_out_rate_total,clearing_cycles_rate,checkpoint_cpu_cluster,checkpoint_memory_cluster,checkpoint_network_cluster,throughput_tenant_fraud_in,throughput_tenant_fraud_out,throughput_tenant_fraud_total,latency_tenant_fraud_p50_ms,latency_tenant_fraud_p90_ms,latency_tenant_fraud_p95_ms,latency_tenant_fraud_p99_ms,latency_tenant_fraud_p999_ms,migration_tenant_fraud_downtime_sec,migration_tenant_fraud_transfer_sec,migration_tenant_fraud_downtime_total_sec,migration_tenant_fraud_transfer_total_sec,checkpoint_tenant_fraud_cpu,checkpoint_tenant_fraud_memory,checkpoint_tenant_fraud_network,throughput_tenant_clickstream_in,throughput_tenant_clickstream_out,throughput_tenant_clickstream_total,latency_tenant_clickstream_p50_ms,latency_tenant_clickstream_p90_ms,latency_tenant_clickstream_p95_ms,latency_tenant_clickstream_p99_ms,latency_tenant_clickstream_p999_ms,migration_tenant_clickstream_downtime_sec,migration_tenant_clickstream_transfer_sec,migration_tenant_clickstream_downtime_total_sec,migration_tenant_clickstream_transfer_total_sec,checkpoint_tenant_clickstream_cpu,checkpoint_tenant_clickstream_memory,checkpoint_tenant_clickstream_network,throughput_tenant_ml_in,throughput_tenant_ml_out,throughput_tenant_ml_total,latency_tenant_ml_p50_ms,latency_tenant_ml_p90_ms,latency_tenant_ml_p95_ms,latency_tenant_ml_p99_ms,latency_tenant_ml_p999_ms,migration_tenant_ml_downtime_sec,migration_tenant_ml_transfer_sec,migration_tenant_ml_downtime_total_sec,migration_tenant_ml_transfer_total_sec,checkpoint_tenant_ml_cpu,checkpoint_tenant_ml_memory,checkpoint_tenant_ml_network,throughput_tenant_iot_in,throughput_tenant_iot_out,throughput_tenant_iot_total,latency_tenant_iot_p50_ms,latency_tenant_iot_p90_ms,latency_tenant_iot_p95_ms,latency_tenant_iot_p99_ms,latency_tenant_iot_p999_ms,migration_tenant_iot_downtime_sec,migration_tenant_iot_transfer_sec,migration_tenant_iot_downtime_total_sec,migration_tenant_iot_transfer_total_sec,checkpoint_tenant_iot_cpu,checkpoint_tenant_iot_memory,checkpoint_tenant_iot_network
1774443320,2026-03-25T12:55:20+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1973.8400000000001,3.0279960000000004,1518835.986935,700.1523733333333,0.41818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443321,2026-03-25T12:55:21+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1936.2112,2.97027,1489907.325475,686.8166133333333,0.41818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443322,2026-03-25T12:55:22+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1898.7232000000001,2.9127599999999996,1461059.9243,673.5183133333334,0.41818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443323,2026-03-25T12:55:23+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1861.0239999999997,2.854926,1432050.002555,660.1450933333334,0.41818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443325,2026-03-25T12:55:25+00:00,5.087232527838829,0.25,0.13333333333333333,0.652470562341807,45838.071374988554,1517.4765372731993,1842.1272727272726,2.836363636363636,1417509.8181818181,653.6545454545454,0.39999999999999997,27.007732327088775,0.11125612000103392,18.666104303459647,1514.7954833204196,1.1490231226197873,1515.9445064430395,9167805.674672127,9168769.782829285,9168779.918777943,9168787.269642353,9168790.082767963,0.003946781158447266,0.003096342086791992,0.003946781158447266,0.003096342086791992,26.98046556047889,0.11114379681072495,18.662022973328103,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0020958181756584923,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0019855119558869925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443326,2026-03-25T12:55:26+00:00,5.087232527838829,0.25,0.13333333333333333,0.652470562341807,45838.071374988554,1517.4765372731993,1842.1272727272726,2.836363636363636,1417509.8181818181,653.6545454545454,0.39999999999999997,27.007732327088775,0.11125612000103392,18.666104303459647,1514.7954833204196,1.1490231226197873,1515.9445064430395,9167805.674672127,9168769.782829285,9168779.918777943,9168787.269642353,9168790.082767963,0.003946781158447266,0.003096342086791992,0.003946781158447266,0.003096342086791992,26.98046556047889,0.11114379681072495,18.662022973328103,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0020958181756584923,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0019855119558869925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443327,2026-03-25T12:55:27+00:00,5.087232527838829,0.25,0.13333333333333333,0.652470562341807,45838.071374988554,1517.4765372731993,1842.1272727272726,2.836363636363636,1417509.8181818181,653.6545454545454,0.39999999999999997,27.007732327088775,0.11125612000103392,18.666104303459647,1514.7954833204196,1.1490231226197873,1515.9445064430395,9167805.674672127,9168769.782829285,9168779.918777943,9168787.269642353,9168790.082767963,0.003946781158447266,0.003096342086791992,0.003946781158447266,0.003096342086791992,26.98046556047889,0.11114379681072495,18.662022973328103,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0020958181756584923,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0019855119558869925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443328,2026-03-25T12:55:28+00:00,5.087232527838829,0.25,0.13333333333333333,0.652470562341807,45838.071374988554,1517.4765372731993,1842.1272727272726,2.836363636363636,1417509.8181818181,653.6545454545454,0.39999999999999997,27.007732327088775,0.11125612000103392,18.666104303459647,1514.7954833204196,1.1490231226197873,1515.9445064430395,9167805.674672127,9168769.782829285,9168779.918777943,9168787.269642353,9168790.082767963,0.003946781158447266,0.003096342086791992,0.003946781158447266,0.003096342086791992,26.98046556047889,0.11114379681072495,18.662022973328103,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0020958181756584923,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0019855119558869925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443329,2026-03-25T12:55:29+00:00,5.087232527838829,0.25,0.13333333333333333,0.652470562341807,45838.071374988554,1517.4765372731993,1842.1272727272726,2.836363636363636,1417509.8181818181,653.6545454545454,0.39999999999999997,27.007732327088775,0.11125612000103392,18.666104303459647,1514.7954833204196,1.1490231226197873,1515.9445064430395,9167805.674672127,9168769.782829285,9168779.918777943,9168787.269642353,9168790.082767963,0.003946781158447266,0.003096342086791992,0.003946781158447266,0.003096342086791992,26.98046556047889,0.11114379681072495,18.662022973328103,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0020958181756584923,0.0,0.7660154150798583,0.7660154150798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363338330494133,5.616159515448457e-05,0.0019855119558869925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774443330,2026-03-25T12:55:30+00:00,6.604264362695939,0.375,0.3333333333333333,0.4649250120948234,45838.071374988554,1954.0137921618732,1841.4545454545457,2.836363636363637,1416890.1636363636,653.3818181818182,0.39999999999999997,35.284038520903785,0.11144510299939184,24.042895640360268,1951.5022063107654,0.837195283702602,1952.339401594468,9171951.154589653,9172562.018728256,9172593.937528133,9173025.039465427,9173028.039985895,0.003946781158447266,0.003096342086791992,0.003946781158447266,0.003096342086791992,35.253803697835316,0.11134960591027496,24.03844845901324,0.0,0.837195283702602,0.837195283702602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015117411534234699,4.774854455843695e-05,0.0022905662962103192,0.0,0.837195283702602,0.837195283702602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015117411534234699,4.774854455843695e-05,0.002156615050817903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
